DQNModel/eps,DQNModel/loss,DQNModel/td_error,DQNModel/q_values/mean,DQNModel/q_values/max,DQNModel/q_values/min,Evaluation/reward/min,Evaluation/reward/mean,Evaluation/reward/median,reward,Evaluation/reward/max,Evaluation/length/min,Evaluation/length/mean,Evaluation/length/max,replay/Buffer/size,Online/total_steps,Online/episode_completed,Online/episodic_return,Online/episodic_length,epoch,step
0.47428202629089355,0.0302945077419281,0.0048935795202851295,3.612859010696411,5.150739669799805,-0.2228594422340393,1,4.3,5.0,4.3,6,16,52.0,70,60000,60000,3885,1.3,19.4,10,54999
0.42421412467956543,0.033720605075359344,0.00769745884463191,3.843987226486206,5.595950126647949,-0.2565736472606659,0,4.0,4.5,4.0,8,6,49.0,94,65000,65000,4078,2.7,34.6,11,59999
0.3741462230682373,0.03776555880904198,0.00931438710540533,4.153987884521484,5.84091329574585,-0.2697838842868805,4,5.9,6.5,5.9,7,48,70.2,84,70000,70000,4228,1.7,24.0,12,64999
0.3240783214569092,0.03829934448003769,0.009893931448459625,4.34420108795166,6.133536338806152,-0.29232707619667053,1,5.5,5.0,5.5,12,16,67.0,142,75000,75000,4364,3.4,42.6,13,69999
0.27401041984558105,0.03944135084748268,0.010744716972112656,4.495713710784912,6.329504489898682,-0.28998130559921265,2,5.6,6.5,5.6,7,26,65.6,80,80000,80000,4487,3.7,46.0,14,74999
0.22398130595684052,0.04037260636687279,0.010394398123025894,4.560170650482178,6.383636951446533,-0.3183147609233856,2,4.2,3.5,4.2,9,26,50.8,104,85000,85000,4605,4.3,52.0,15,79999
0.17398791015148163,0.04185965284705162,0.013627927750349045,4.699917793273926,6.595366954803467,-0.3262973129749298,2,7.2,8.0,7.2,9,28,85.0,106,90000,90000,4710,2.8,36.0,16,84999
0.12400456517934799,0.04130839183926582,0.012875028885900974,4.758822441101074,6.67086935043335,-0.29248374700546265,0,5.7,4.0,5.7,13,6,68.8,152,95000,95000,4799,5.0,60.6,17,89999
0.10000000894069672,0.04087124019861221,0.013380330055952072,4.78003454208374,6.705983638763428,-0.2861939072608948,2,7.9,9.0,7.9,9,28,93.4,106,100000,100000,4888,5.6,67.0,18,94999
0.10000000894069672,0.03899434953927994,0.01425452996045351,4.8412652015686035,6.7895188331604,-0.2835085093975067,4,7.5,8.0,7.5,9,48,87.6,106,100000,105000,4981,4.6,56.0,19,99999
0.10000000894069672,0.04137127101421356,0.016104040667414665,4.8019890785217285,6.794931411743164,-0.28405192494392395,1,5.7,7.5,5.7,9,16,68.2,106,100000,110000,5063,4.8,58.2,20,104999
0.10000000894069672,0.040795959532260895,0.01578228361904621,4.76193380355835,6.750280380249023,-0.3106797933578491,4,7.9,9.0,7.9,10,48,93.2,116,100000,115000,5146,5.6,67.6,21,109999
0.10000000894069672,0.03970778360962868,0.017701098695397377,4.713667869567871,6.728874206542969,-0.3091205656528473,5,7.6,8.5,7.6,9,58,88.4,106,100000,120000,5222,6.4,76.0,22,114999
0.10000000894069672,0.039644695818424225,0.015663152560591698,4.687887668609619,6.805573463439941,-0.2828875184059143,2,8.1,9.0,8.1,12,26,96.2,140,100000,125000,5304,3.4,42.8,23,119999
0.10000000894069672,0.036901846528053284,0.016609178856015205,4.616389274597168,6.694819450378418,-0.31049850583076477,1,5.2,5.0,5.2,10,16,62.4,116,100000,130000,5385,5.6,67.0,24,124999
0.10000000894069672,0.036378197371959686,0.016655270010232925,4.579020977020264,6.5876078605651855,-0.31085968017578125,0,7.3,9.0,7.3,9,6,86.6,106,100000,135000,5472,4.8,57.6,25,129999
0.10000000894069672,0.03624791279435158,0.01847153715789318,4.561662673950195,6.637500762939453,-0.3205324709415436,0,5.9,6.0,5.9,10,6,70.2,116,100000,140000,5554,3.8,47.2,26,134999
0.10000000894069672,0.03589995577931404,0.018435725942254066,4.520506381988525,6.588276386260986,-0.2953185439109802,0,4.5,4.5,4.5,9,6,54.8,106,100000,145000,5627,6.3,74.2,27,139999
0.10000000894069672,0.03359854593873024,0.01647091656923294,4.488971710205078,6.56796932220459,-0.26628994941711426,0,6.1,9.0,6.1,9,6,73.0,106,100000,150000,5710,4.5,54.6,28,144999
0.10000000894069672,0.03257280960679054,0.017416248098015785,4.411488056182861,6.547616958618164,-0.312499463558197,2,6.6,6.0,6.6,11,28,79.2,130,100000,155000,5795,5.8,70.0,29,149999
