DQNModel/eps,DQNModel/loss,DQNModel/td_error,DQNModel/q_values/mean,DQNModel/q_values/max,DQNModel/q_values/min,Evaluation/reward/min,Evaluation/reward/mean,Evaluation/reward/median,reward,Evaluation/reward/max,Evaluation/length/min,Evaluation/length/mean,Evaluation/length/max,replay/Buffer/size,Online/total_steps,Online/episode_completed,Online/episodic_return,Online/episodic_length,epoch,step
0.22398130595684052,0.0294756218791008,0.0033387248404324055,9.654303550720215,11.617219924926758,1.2325853109359741,17,26.1,22.5,26.1,47,145,248.6,407,85000,85000,1159,15.3,115.9,15,79999
0.17398791015148163,0.03018459491431713,0.0040234909392893314,9.95333480834961,12.034894943237305,1.1697267293930054,2,19.9,21.5,19.9,36,17,196.0,287,90000,90000,1185,20.5,182.3,16,84999
0.12400456517934799,0.03136444836854935,0.004902845248579979,10.18815803527832,12.338860511779785,1.2334567308425903,3,24.1,22.5,24.1,71,17,218.2,651,95000,95000,1215,18.7,170.5,17,89999
0.10000000894069672,0.03278128057718277,0.005641777999699116,10.321371078491211,12.584091186523438,1.0616916418075562,3,21.6,20.5,21.6,47,18,227.2,453,100000,100000,1236,18.8,155.8,18,94999
0.10000000894069672,0.03277609869837761,0.0044572134502232075,10.41440200805664,12.798688888549805,0.998802900314331,5,16.1,20.5,16.1,23,28,140.4,228,100000,105000,1269,20.4,178.2,19,99999
0.10000000894069672,0.035677265375852585,0.006096397992223501,10.456865310668945,12.992530822753906,1.0402870178222656,17,33.9,23.0,33.9,71,118,303.9,602,100000,110000,1291,21.0,195.1,20,104999
0.10000000894069672,0.03592433035373688,0.00606957171112299,10.393153190612793,13.065506935119629,0.8970275521278381,13,36.1,23.0,36.1,71,78,348.3,685,100000,115000,1325,17.0,151.5,21,109999
0.10000000894069672,0.035367585718631744,0.0062124114483594894,10.354257583618164,13.222602844238281,0.8436965942382812,3,21.4,22.0,21.4,47,18,225.3,427,100000,120000,1353,22.0,217.5,22,114999
0.10000000894069672,0.03728487342596054,0.006317321676760912,10.329909324645996,13.50003433227539,0.7170352339744568,3,26.2,23.0,26.2,63,18,239.6,495,100000,125000,1385,22.7,193.8,23,119999
0.10000000894069672,0.03732706978917122,0.003661171067506075,10.276680946350098,13.743762969970703,0.614149808883667,9,21.8,23.0,21.8,44,47,213.2,388,100000,130000,1408,21.3,183.9,24,124999
0.10000000894069672,0.0350058414041996,0.004639650695025921,10.155084609985352,13.955171585083008,0.6050012707710266,8,26.9,23.0,26.9,55,48,233.9,466,100000,135000,1436,20.3,163.1,25,129999
0.10000000894069672,0.03586418554186821,0.0054432088509202,10.057202339172363,14.152709007263184,0.4990503489971161,5,31.0,23.0,31.0,95,27,249.6,753,100000,140000,1467,17.4,154.8,26,134999
0.10000000894069672,0.0358656644821167,0.004664773587137461,9.973982810974121,14.347753524780273,0.43084102869033813,5,23.7,20.5,23.7,71,27,199.6,639,100000,145000,1496,19.2,171.4,27,139999
0.10000000894069672,0.037441693246364594,0.0029526364523917437,9.868114471435547,14.526650428771973,0.3958841860294342,3,23.8,23.0,23.8,45,18,199.1,408,100000,150000,1528,23.8,217.0,28,144999
0.10000000894069672,0.0337202362716198,0.0030947180930525064,9.642934799194336,14.496678352355957,0.22274217009544373,12,38.4,23.0,38.4,94,66,343.0,807,100000,155000,1557,20.7,194.1,29,149999
